Expression,Lemmatized_Form,Type,Confidence,Length,Source_URL
"Vororten","vororten","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Vogtländisch Vorvogtländisch","vogtländisch vorvogtländisch","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Commission","commission","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Zeitung oder","zeitung oder","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"die in","die in","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"a b","a b","COLLOCATION",0,822,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Fahnenflucht","fahnenflucht","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Vokabulars","vokabulars","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Ostniederdeutsch )","ostniederdeutsch )","COLLOCATION",0,501,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"mit aber","mit aber","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Les parcours","les parcours","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Nur zwei","nur zwei","COLLOCATION",0,697,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"in Denmark","in denmark","COLLOCATION",0,540,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Braunfels","braunfels","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sprachgewohnheiten","sprachgewohnheiten","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Mittelhochdeutsch (","mittelhochdeutsch (","COLLOCATION",0,500,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Historischen","historischen","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"sächsische Kanzleisprache","sächsische kanzleisprache","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"MB )","mb )","COLLOCATION",0,560,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Besonders","besonders","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"als eigenständige","als eigenständige","COLLOCATION",0,667,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"und 20","und 20","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"das Fersental und","das fersental und","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Schifferausdrücke","schifferausdrücke","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zu eine","zu eine","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"einer Gallup","einer gallup","COLLOCATION",0,888,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Österreichs","österreichs","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Muttersprache","muttersprache","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Schwäbisch -","schwäbisch -","COLLOCATION",0,612,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"- Alemannisch","- alemannisch","COLLOCATION",0,570,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"war es","war es","COLLOCATION",0,519,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"ausgestorben )","ausgestorben )","COLLOCATION",0,501,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"auf dialektaler","auf dialektaler","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"statistical agency","statistical agency","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Berlin /","berlin /","COLLOCATION",0,843,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Elsässer gaben","elsäss gaben","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Zunahme","zunahme","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"( 0,52","( 0,52","COLLOCATION",0,559,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"vom Niederländischen","vom niederländischen","COLLOCATION",0,623,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Rechtschreibung mit","rechtschreibung mit","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Pickelhaube","pickelhaube","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"setzte sich","setzte sich","COLLOCATION",0,833,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"deutsche Muttersprachler","deutsche muttersprachler","COLLOCATION",0,664,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Conversation","conversation","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"4 Millionen","4 millionen","COLLOCATION",0,663,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Schwäbisch Bairisch","schwäbisch bairisch","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Languages of","languages of","COLLOCATION",0,904,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"und nur","und nur","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Ein Wörterbuch","ein wörterbuch","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"folgende :","folgende :","COLLOCATION",0,572,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Baden )","baden )","COLLOCATION",0,560,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"drei Amtssprachen","drei amtssprachen","COLLOCATION",0,904,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Pfeifer","pfeifer","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Unter Standardabweichung","unter standardabweichung","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Tschechien","tschechien","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"den ostpommerschen","den ostpommerschen","COLLOCATION",0,656,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"eine Untertitelung der","eine untertitelung der","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Schwäbisch","schwäbisch","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Doppelidentität","doppelidentität","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sprachbereiche","sprachbereiche","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"vor und","vor und","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Dialekt Plautdietsch","dialekt plautdietsch","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"ein Forschung","ein forschung","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zu haben","zu haben","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"elsässischen Zeitungen","elsässischen zeitungen","COLLOCATION",0,933,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Limburg -Weilburg","limburg -weilburg","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Orts -","orts -","COLLOCATION",0,712,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Parterre","parterre","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Genres Schlager","genres schlager","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"deutscher Unterrichtssprache","deutsch unterrichtssprache","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"und wer","und wer","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Fremdsprache","fremdsprache","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Mischsprache Missingsch","mischsprache missingsch","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Trottoir","trottoir","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"den slawischen","den slawischen","COLLOCATION",0,615,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Millionen Erstsprachler","millionen erstsprachler","COLLOCATION",0,863,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Nordniederdeutsch ""","nordniederdeutsch ""","COLLOCATION",0,629,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Seebold","seebold","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"deutsche Standardsprache","deutsch standardsprache","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"erweiterte Auflage","erweiterte auflage","COLLOCATION",0,972,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"die Beseitigung der","die beseitigung der","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"E Cultural","e cultural","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"anderen germanischen","anderen germanischen","COLLOCATION",0,734,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"des Mittellands","des mittellands","COLLOCATION",0,695,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Ein Handbuch","ein handbuch","COLLOCATION",0,795,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Otfrieds","otfrieds","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Lateinisch","lateinisch","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Woiwodschaft","woiwodschaft","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"ostpommerschen oder","ostpommerschen oder","COLLOCATION",0,711,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"n )","n )","COLLOCATION",0,501,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zu beobachten","zu beobachten","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"kann daher","kann daher","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sprachentwicklung","sprachentwicklung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Archive )","archiv )","COLLOCATION",0,560,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"völlig neu","völlig neu","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"sich aufgrund","sich aufgrund","COLLOCATION",0,616,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"municípios brasileiros","municípios brasileiros","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Ursprung","ursprung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"von brasilianischen","von brasilianischen","COLLOCATION",0,725,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"100 Millionen","100 millionen","COLLOCATION",0,763,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"so viele","so viel","COLLOCATION",0,985,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sprechern kaum","sprechern kaum","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Intensität","intensität","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"22 Prozent","22 prozent","COLLOCATION",0,745,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sprachpanschern","sprachpanschern","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"hunsrückischen Dialekt","hunsrückisch dialekt","COLLOCATION",0,850,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Nach die","nach die","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Langobardische","langobardische","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"die nach Englisch","die nach englisch","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Einwohnern","einwohnern","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Gemeinschaft","gemeinschaft","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"bis Dezember","bis dezember","COLLOCATION",0,593,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Etymologisches","etymologisches","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Althochdeutsch (","althochdeutsch (","COLLOCATION",0,559,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Domestic Life","domestic life","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"wie zum","wi zum","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Vergleich zu","vergleich zu","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Januar 2010","januar 2010","COLLOCATION",0,791,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"dänischen Sprache","dänischen sprach","COLLOCATION",0,810,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Universität Leipzig","universität leipzig","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Süd -","süd -","COLLOCATION",0,653,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Januar 2007","januar 2007","COLLOCATION",0,919,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"les cultures","les cultures","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zumeist nur","zumeist nur","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"parcours francoallemands","parcours francoallemands","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"leichter als","leichter als","COLLOCATION",0,709,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Monophthongierung","monophthongierung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"unbeschadet der","unbeschadet der","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Typisch","typisch","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Landfriede","landfriede","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"= Lautübertragung","= lautübertragung","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Anmerkung","anmerkung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"immer mehr","immer mehr","COLLOCATION",0,978,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Werner Besch","werner besch","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zu §","zu §","COLLOCATION",0,569,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Oberdeutsch Alemannisch","oberdeutsch alemannisch","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"alleinige Amtssprache","alleinige amtssprache","COLLOCATION",0,950,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Lateinisch geschrieben","lateinisch geschrieben","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Mischform mit","mischform mit","COLLOCATION",0,756,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Europäische Handballföderation","europäisch handballföderation","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"im Gegensatz zu","im gegensatz zu","PREPOSITIONAL_PHRASE",0,900,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"begann mit","begann mit","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Vocabularius","vocabularius","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Schiedssprüche","schiedssprüche","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"– Versuch","– versuch","COLLOCATION",0,712,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"vom 2","vom 2","COLLOCATION",0,501,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"als Fremdsprache","als fremdsprache","COLLOCATION",0,692,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"dominierende Rolle","dominierend rolle","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Luxembourg","luxembourg","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Ein dieses","ein dieses","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Ein dieser","ein dieser","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"vom 4","vom 4","COLLOCATION",0,540,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"European Football","european football","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"niederdeutschen Dialekte","niederdeutschen dialekte","COLLOCATION",0,685,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"vom 8","vom 8","COLLOCATION",0,652,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"deutsche Sprache","deutsch sprache","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"ein und weist","ein und weist","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Dominanz","dominanz","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sprache weltweit","sprach weltweit","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Strassen -","strassen -","COLLOCATION",0,712,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"oberdeutschen Dialekten","oberdeutschen dialekten","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Vermischung und","vermischung und","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Schriftstellerin","schriftstellerin","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"vor die","vor die","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Einteilung der","einteilung der","COLLOCATION",0,531,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"umgangssprachlich ""","umgangssprachlich ""","COLLOCATION",0,555,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Arbeitsgruppe Deutsch","arbeitsgruppe deutsch","COLLOCATION",0,699,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Homepages","homepages","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"besteht auch","besteht auch","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Romanes","romanes","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Gemeinsamkeit","gemeinsamkeit","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Lautverschiebung in","lautverschiebung in","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Duitsers","duitsers","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Bruch und","bruch und","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"im Einzelnen","im einzelnen","COLLOCATION",0,629,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Hohenlohisch Unterfränkisch","hohenlohisch unterfränkisch","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"aus es","aus es","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"im Burgenland","im burgenland","COLLOCATION",0,671,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Öfteren","öfteren","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Germânica (","germânica (","COLLOCATION",0,559,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Ponaschemu","ponaschemu","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Bürgerinformationsportal der","bürgerinformationsportal der","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Unterrichtssprache","unterrichtssprache","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Wirtschaftskraft","wirtschaftskraft","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Juli 2019","juli 2019","COLLOCATION",0,781,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"vor den","vor den","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
